Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36000031,CEIP Antonio Carpintero,"Rúa Miguel Davila, s/n (Consistorio)",Arbo,Pontevedra,36430,886110092,CEIP,42.112998962402344,-8.313560485839844,Pública,Non,Si
36000181,CEIP Amor Ruibal,Perdecanai (Santa María),Barro,Pontevedra,36194,886151996,CEIP,42.523860931396484,-8.637228012084961,Pública,Non,Si
36000247,CPI de Cova Terreña,Dolores Agrelo s/n,Baiona,Pontevedra,36300,886120001,CPI,42.116703033447266,-8.85274887084961,Pública,Non,Si
36000302,CEP de Sabarís,"Avenida Doutor Fariñas, 26 (Sabarís)",Baiona,Pontevedra,36393,886110143,CEP,42.108253479003906,-8.820155143737793,Pública,Non,Si
36000326,CEIP Plurilingüe Montemogos,Rúa Montemogos s/n,Bueu,Pontevedra,36937,886151115,CEIP,42.32567596435547,-8.808289527893066,Pública,Non,Si
36000341,CEIP Plurilingüe A Pedra,Rúa A Pedra 26,Bueu,Pontevedra,36930,886159712,CEIP,42.32062911987305,-8.786355972290039,Pública,Non,Si
36000351,CPR Plurilingüe Virgen Milagrosa,Rúa Fontenla 55,Bueu,Pontevedra,36930,986320143,CPR,42.32476806640625,-8.787239074707031,Privada,Si,Non
36000363,ESCO DE FP MARÍTIMO PESQUEIRA,Rúa Pazos Fontenla s/n,Bueu,Pontevedra,36930,986321143,ESCO,42.326904296875,-8.781408309936523,Pública,Non,Non
36000375,CEIP Plurilingüe da Torre-Cela,A Torre 75,Bueu,Pontevedra,36939,886151111,CEIP,42.32807540893555,-8.759383201599121,Pública,Non,Si
36000405,CPI Plurilingüe Alfonso VII,Rúa Jose Salgado 18,Caldas de Reis,Pontevedra,36650,886159005,CPI,42.60395050048828,-8.637248992919922,Pública,Non,Si
36000417,CPR Plurilingüe San Fermín,Rúa Fermín Mosquera 2,Caldas de Reis,Pontevedra,36650,986540075,CPR,42.604148864746094,-8.647162437438965,Privada,Si,Non
36000429,CPR Plurilingüe La Encarnación,Avenida Dolores Mosquera 4,Caldas de Reis,Pontevedra,36650,986540052,CPR,42.60602569580078,-8.643172264099121,Privada,Si,Non
36000478,CEP Antonio Magariños Pastoriza,Avenida Vilariño 29,Cambados,Pontevedra,36630,886151181,CEP,42.51593780517578,-8.811647415161133,Pública,Non,Si
36000481,IES Ramón Cabanillas,Avenida Rosalía Castro s/n,Cambados,Pontevedra,36630,886151913,IES,42.519290924072266,-8.810976028442383,Pública,Non,Si
36000508,CEIP Plurilingüe de Castrelo,Rúa A BOUZA 96,Cambados,Pontevedra,36639,886151171,CEIP,42.480499267578125,-8.807344436645508,Pública,Non,Si
36000569,CPR Salesianos A Mercé,Serantellos 1,Cambados,Pontevedra,36639,986542750,CPR,42.48977279663086,-8.802515983581543,Privada,Si,Non
36000648,CEIP Plurilingüe Enrique Barreiro Piñeiro,Rúa Sineiro,Cambados,Pontevedra,36633,886151188,CEIP,42.518104553222656,-8.792634963989258,Pública,Non,Si
36000685,CEIP Plurilingüe Pedro Antonio Cerviño,A Lagoa,Campo Lameiro,Pontevedra,36110,886151205,CEIP,42.54235076904297,-8.543336868286133,Pública,Non,Si
36000831,CPR Plurilingüe Sagrada Familia,Avenida Xose Graña 44,Cangas,Pontevedra,36945,986329575,CPR,42.28104782104492,-8.819350242614746,Privada,Si,Non
36000843,EMUSPR Agrupación Musical do Rosal,Rúa Couso s/n - Auditorio do Concello,O Rosal,Pontevedra,36770,986626130,EMUSPR,41.93514633178711,-8.835490226745605,Privada,Non,Non
36000867,EMUSPR Atlántida,"Rúa dos Canteiros, 53 - Matama",Vigo,Pontevedra,36213,986236389,EMUSPR,42.20122146606445,-8.733916282653809,Privada,Non,Non
36000879,CEIP Nazaret,Rúa REAL-NAZARET s/n,Cangas,Pontevedra,36940,886120344,CEIP,42.26494216918945,-8.786091804504395,Pública,Non,Si
36000910,CPR Plurilingüe Casa de la Virgen,Rúa Rodeira 12,Cangas,Pontevedra,36940,986392313,CPR,42.261295318603516,-8.7660493850708,Privada,Si,Non
36000922,IES María Soliño,Monte Carrasco 3,Cangas,Pontevedra,36940,886120012,IES,42.27751922607422,-8.791501998901367,Pública,Non,Si
36000934,CEIP Plurilingüe do Castrillón-Coiro,Rúa O Castrillón s/n,Cangas,Pontevedra,36947,886110172,CEIP,42.27480697631836,-8.771778106689453,Pública,Non,Si
36001008,CPR Plurilingüe Compañía de María,"Rúa Enseñanza, 19 - Cima de Vila",Cangas,Pontevedra,36940,986300580,CPR,42.26789474487305,-8.78725528717041,Privada,Si,Non
36001033,CEIP Plurilingüe de San Roque de Darbo,Rúa San Roque Darbo,Cangas,Pontevedra,36940,886120954,CEIP,42.256500244140625,-8.795103073120117,Pública,Non,Si
36001057,CEIP do Hío,Rúa Antonio Graña 27,Cangas,Pontevedra,36948,886110182,CEIP,42.266632080078125,-8.8254976272583,Pública,Non,Si
36001148,CPI da Cañiza,Acceso o Parque s/n,A Cañiza,Pontevedra,36880,886120020,CPI,42.218502044677734,-8.28129768371582,Pública,Non,Si
36001240,EEI de Dimo,Dimo (San Pedro),Catoira,Pontevedra,36612,636456887,EEI,42.6692008972168,-8.69542121887207,Pública,Non,Si
36001252,CPI do Progreso,"Paseo das Lombas, 2 (O Progreso)",Catoira,Pontevedra,36612,886159201,CPI,42.67060089111328,-8.722962379455566,Pública,Non,Si
36001343,CEIP San Xoán Bautista,"Rúa das Longas, 23 (Cerdedo)",Cerdedo-Cotobade,Pontevedra,36139,986753053,CEIP,42.53356170654297,-8.389037132263184,Pública,Non,Si
36001550,CEIP Plurilingüe de Carballedo,Cuqueira s/n,Cerdedo-Cotobade,Pontevedra,36856,886151213,CEIP,42.4747200012207,-8.476296424865723,Pública,Non,Si
36001562,EMUSPR Unión de Guláns,O Casal 31,Ponteareas,Pontevedra,36861,986661197,EMUSPR,42.15430450439453,-8.538802146911621,Privada,Non,Non
